City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sola,VU,79.36,overcast clouds,-13.88,167.55,Ulkel Guest House
1,Rikitea,PF,73.35,overcast clouds,-23.12,-134.97,People ThankYou
2,Nikolskoye,RU,58.87,overcast clouds,59.7,30.79,Tourist House - Sablino
3,Michurinsk,RU,62.17,light rain,52.9,40.49,Spa-Hotel PLAZA
4,Kapaa,US,83.19,few clouds,22.08,-159.32,Sheraton Kauai Coconut Beach Resort Hotel
5,Hilo,US,90.28,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
8,Kropotkin,RU,70.97,clear sky,45.44,40.58,Hotel Europe Kropotkin
9,Atuona,PF,77.5,clear sky,-9.8,-139.03,Villa Enata
12,Miyako,JP,81.46,overcast clouds,39.64,141.95,Hotel Route Inn Miyako
14,Sioux Lookout,CA,56.37,clear sky,50.1,-91.92,Knobby's Fly-In Camps
15,San Giovanni Rotondo,IT,67.62,clear sky,41.7,15.72,Hotel Gran Paradiso
17,Puerto Ayora,EC,69.55,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
18,Ambon,ID,86.14,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
19,Albany,US,67.89,few clouds,42.6,-73.97,
20,Kahului,US,89.62,few clouds,20.89,-156.47,Maui Seaside Hotel
22,Ambulu,ID,82.24,scattered clouds,-8.35,113.61,Hotel Ambulu Jember
25,Kalmunai,LK,80.74,overcast clouds,7.42,81.82,VS Villa
26,Saint Andrews,US,84.29,scattered clouds,34.05,-81.13,Baymont by Wyndham Columbia Northwest
27,El Retorno,CO,71.01,broken clouds,2.33,-72.63,"Hotel Casero, Buena Opcion, Tranquilo Y Seguro, No Restaurante."
29,Mahajanga,MG,66.22,few clouds,-15.72,46.32,Hôtel Restaurant Gourmand Coco Lodge Majunga
30,Isangel,VU,77.11,broken clouds,-19.55,169.27,Tanna Lodge
33,Busselton,AU,57.65,broken clouds,-33.65,115.33,Observatory Guest House
34,Carnarvon,AU,62.17,clear sky,-24.87,113.63,Hospitality Carnarvon
35,Tuscaloosa,US,78.58,clear sky,33.21,-87.57,Hampton Inn Tuscaloosa-University
36,Cape Town,ZA,56.12,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
38,Butaritari,KI,81.84,few clouds,3.07,172.79,Isles Sunset Lodge
39,Saint-Philippe,RE,65.79,light rain,-21.36,55.77,Le four à pain
